"oil_spill_id","From","jiv_number","date_reported","date_spill","date_spill_clean","jiv_date","facility_equipment/incident_site","area/terrain","cause","volume","cleanup_status","comments","lga","jiv_lookup_id","JIV.Asset.Id","JIV.Url","JIV.Cause.Verified","JIV.Location.Verified","JIV.Comment","Included","Monitors manual changes","JIV Location - reconstructed to monior manual changes in split data","Location.Type","Location.Unit","Lat/Northing","Long/Easting","Area","Area Unit","photo_lookup_id","Photo.Asset.Id","Photo.Url","Photo.Damage.Followup","map.type","map.description","map.lat","map.lon","Photo.Damage"
"1","eni","SAR-360-486-104","","6/1/14","","","18'' Tebidaba/Brass Pipeline","SAR","Oil theft","2","","","Southern Ijaw","1jiv","2","https://decoder.blob.core.windows.net/oil-spill-assets/data/2.pdf","2014-06-01 - 2014-06-01 - Third party interference","NEMB - DMS - {degrees:04,minutes:30,seconds:17.0} - {degrees:006,minutes:03,seconds:25.7}","Unknown person(s) cut open a section ot the cone of a previously repaired point for crude oil theft activities","Y","No change","NEMB - DMS - {degrees:04,minutes:30,seconds:17.0} - {degrees:006,minutes:03,seconds:25.7}","NEMB","DMS","{degrees:04,minutes:30,seconds:17.0}","{degrees:006,minutes:03,seconds:25.7}","","","1photo","40","https://decoder.blob.core.windows.net/oil-spill-assets/data/40.pdf","N/A","WGS84","Converted from Degrees Minutes Seconds",4.5047,6.0571,
"2","eni","SAR-488-668-546","","9/1/14","","","18'' Tebidaba/Brass Pipeline","SAR","Oil theft","7","","","Southern Ijaw","2jiv","1","https://decoder.blob.core.windows.net/oil-spill-assets/data/1.pdf","2014-09-01 - 2014-09-01 - Third party interference - Drilling","NEMB - DMS - {degrees:04,minutes:30,seconds:43.1} - {degrees:006,minutes:01,seconds:58.1}","Unknown persons installed a 2"" valve at 12 o'clock position for oil theft activities ","Y","No change","NEMB - DMS - {degrees:04,minutes:30,seconds:43.1} - {degrees:006,minutes:01,seconds:58.1}","NEMB","DMS","{degrees:04,minutes:30,seconds:43.1}","{degrees:006,minutes:01,seconds:58.1}","","","2photo","39","https://decoder.blob.core.windows.net/oil-spill-assets/data/39.pdf","N/A","WGS84","Converted from Degrees Minutes Seconds",4.512,6.0328,
"3","shell","1571105","2/7/16","","","2/9/16 0:00","6'' Mininta - Ahia Bulk Line at Akpabu","Land","Other","1135","Recovery completed on 29 Feb 2016, assessment completed on 23 Mar 2016, clean-up and remediation planned for July 2017","-","","3jiv","215","https://decoder.blob.core.windows.net/oil-spill-assets/data/215.pdf","42407 - 42622 - Accidental 3rd party equipment impact - Third party interference; Accidental 3rd party damage","LLWGS - DEC - 5.12918 - 6.73789 - 1.9 - ha","0","Y","No change","LLWGS - DEC - 5.12918 - 6.73789 - 1.9 - ha","LLWGS","DEC","5.12918","6.73789","1.9","ha","3photo","175","https://decoder.blob.core.windows.net/oil-spill-assets/data/175.pdf","Irregular","WGS84","",5.12918,6.73789,
"4","shell","1350803","3/2/15","","","3/7/15 0:00","Tunu well 6T Flowline","Swamp","Operational","27","Recovery completed on 27 Mar 2015, assessment completed on 29 Apr 2015, clean-up and remediation planned for April 2017","-","","4jiv","208","https://decoder.blob.core.windows.net/oil-spill-assets/data/208.pdf","42064 - 42070 - Bulging Outward; Tear - Operational","LLWGS - DEC - 04.88196 - 005.61596 - 5.7 - ha","0","Y","No change","LLWGS - DEC - 04.88196 - 005.61596 - 5.7 - ha","LLWGS","DEC","04.88196","005.61596","5.7","ha","4photo","171","https://decoder.blob.core.windows.net/oil-spill-assets/data/171.pdf","N/A","WGS84","",4.88196,5.61596,
"5","shell","809483","5/1/12","","","5/5/12 0:00","16'' Nun-River - Kolo Creek Pipeline at Aguobiri","Swamp","Sabotage / Theft","937.3","Containment in place. Recovery of spilled volume commenced on 9th May 2012. Initial cleanup of residual impacted area was completed 27th July 2012 and Remediation completed 15th August 2012.","Site certification completed on 19th September 2012.","","5jiv","861","https://decoder.blob.core.windows.net/oil-spill-assets/data/861.pdf","2012-05-01 - 2012-05-05 - Hack saw cut - Third party interference","NEMB - DEC - 91317.31 - 409101.89 - 0.79 - ha","","Y","No change","NEMB - DEC - 91317.31 - 409101.89 - 0.79 - ha","NEMB","DEC","91317.31","409101.89","0.79","ha","5photo","795","https://decoder.blob.core.windows.net/oil-spill-assets/data/795.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.824173960765209,6.1080895322270985,
"6","shell","1225314","8/1/14","","","8/7/14 0:00","20'' Opukushi-Brass Creek Pipeline at Peretourugbene","Swamp","Sabotage","5","Spill was contained on 02 Aug 2014, recovery completed on 19 Aug 2014, assessment completed on 28 Aug 2014, clean-up and remediation completed on 15 Jan 2015, site certified on 15 Jul 2015","-","","6jiv","449","https://decoder.blob.core.windows.net/oil-spill-assets/data/449.pdf","2014-07-31 - 2014-08-07 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","NEMB - DEC - 104651.78 - 360380.08 - 0.04 - ha","","Y","No change","NEMB - DEC - 104651.78 - 360380.08 - 0.04 - ha","NEMB","DEC","104651.78","360380.08","0.04","ha","6photo","406","https://decoder.blob.core.windows.net/oil-spill-assets/data/406.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.945672162419769,5.669106103491035,
"7","shell","1649883","6/8/16","","","6/11/16 0:00","28'' Bomu-Bonny Pipeline at Okolo Launch","Swamp","Sabotage","76","Recovery completed on 07 Jul 2016, assessment completed on 27 Jul 2016, clean-up and remediation planned for December 2016","-","","7jiv","150","https://decoder.blob.core.windows.net/oil-spill-assets/data/150.pdf","42529 - 42532 - Crude oil theft (illegal bunkering) point - Third party interference; crude theft","LLWGS - DEC - 4.504562 - 7.222955 - 15.38 - ha","0","Y","No change","LLWGS - DEC - 4.504562 - 7.222955 - 15.38 - ha","LLWGS","DEC","4.504562","7.222955","15.38","ha","7photo","109","https://decoder.blob.core.windows.net/oil-spill-assets/data/109.pdf","N/A","WGS84","",4.504562,7.222955,
"8","shell","","2/2/13","","","2/7/13 0:00","10'' Santa Barbara Pipeline at Santa Barbara","Land","Sabotage","22","Spill was contained on 03 Feb 2013, recovery completed on 08 Feb 2013, assessment completed on 20 Feb 2013, clean-up and remediation completed on 31 May 2013, site certified on 20 Aug 2013","Cleanup has been completed and visited by regulators for Post-Cleanup Inspection.","","8jiv","265","https://decoder.blob.core.windows.net/oil-spill-assets/data/265.pdf","2013-02-01 - 2013-02-07 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","NEMB - DEC - 58758.86 - 448596.51 - 2.1463 - ha","Three representatives didn't sign this report.","N","No change","NEMB - DEC - 58758.86 - 448596.51 - 2.1463 - ha","NEMB","DEC","58758.86","448596.51","2.1463","ha","8photo","210","https://decoder.blob.core.windows.net/oil-spill-assets/data/210.pdf","","WGS84","Converted from Nigeria West Belt",4.528882197548837,6.46321635926124,
"9","shell","750226","12/5/11","","","12/7/11 0:00","12'' Imo River1 - Ogale Pipeline @ Komkom","Swamp","Sabotage / Theft","2.2","No recoverable oil was found on site. Cleanup of residual impacted area was completed on 6th January 2012.","Post Cleanup Inspection completed on 3rd February 2012.","","9jiv","296","https://decoder.blob.core.windows.net/oil-spill-assets/data/296.pdf","2011-12-05 - 2011-12-07 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 96062.14 - 522877.40 - 0.0049 - ha","","Y","No change","NEMB - DEC - 96062.14 - 522877.40 - 0.0049 - ha","NEMB","DEC","96062.14","522877.40","0.0049","ha","9photo","263","https://decoder.blob.core.windows.net/oil-spill-assets/data/263.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.8638487209123635,7.133442193198278,
"10","shell","1189132","6/2/14","","","6/4/14 0:00","20"" Otumara- Escravos Pipeline at Ugboegungun","Swamp","Sabotage","11","Spill was contained on 04 Jun 2014, recovery completed on 09 Jun 2014, assessment completed on 11 Jun 2014, clean-up and remediation completed on 16 Jul 2014, site certified on 30 Sep 2014","-","","10jiv","638","https://decoder.blob.core.windows.net/oil-spill-assets/data/638.pdf","2014-05-31 - 2014-06-04 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","NEMB - DEC - 180181.54 - 303991.98 - 0.01 - ha","a 4"" illegal hot tap valve connected to a galvanized pipe fitting was observed welded on the 20"" crude oil pipeline. the leak is from the connected illegal pipe fitting ","Y","No change","NEMB - DEC - 180181.54 - 303991.98 - 0.01 - ha","NEMB","DEC","180181.54","303991.98","0.01","ha","10photo","579","https://decoder.blob.core.windows.net/oil-spill-assets/data/579.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.629571228329935,5.161356148850469,
